Rating|id|Short-Info|Purpose|More-Info
1|1||solvent|706945-WATER/
8|2|"The word ""fragrance"" or ""parfum"" on the product label represents an undisclosed mixture of various scent chemicals and ingredients used as fragrance dispersants such as diethyl phthalate. Fragrance mixes have been associated with allergies, dermatitis, respiratory distress and potential effects on the reproductive system."|deodorant, masking, and perfuming|702512-FRAGRANCE/
1.5|3|Glycerin (also called glycerol) is a naturally occurring alcohol compound and a component of many lipids. Glycerin may be of animal or vegetable origin. This ingredient is listed in the PETA's Caring Consumer guide as a byproduct of soap manufacture which typically uses animal fat.|denaturant, fragrance ingredient, hair conditioning agent, humectant, oral care agent;oral health care drug, skin-conditioning agent - humectant, skin protectant, viscosity decreasing agent, perfuming, and solvent|702620-GLYCERIN/
2|4|Iron oxides are inorganic chemicals used as colorants.|colorant and cosmetic colorant|706410-IRON_OXIDES/
2|5|Titanium dioxide is an inorganic compound used in a range of body care products such as sunscreens and makeup. It appears to have low skin penetration but inhalation is a concern.|colorant, opacifying agent, sunscreen agent, and ultraviolet light absorber|706561-TITANIUM_DIOXIDE/
3|6|Phenoxyethanol is a preservative used in cosmetics and personal care products.|fragrance ingredient and preservative|704811-PHENOXYETHANOL/
2|7|Mica is a type of highly brittle silicate minerals with diverse chemical composition; typically used as a colorant.|colorant and opacifying|703949-MICA/
2.5|8|Tocopheryl acetate is a chemical compound that consists of acetic acid and tocopherol (vitamin E)|antioxidant, skin-conditioning agent - miscellaneous, and skin conditioning|706569-TOCOPHERYL_ACETATE/
1|9|Tocopherols are a class of naturally occurring chemical compounds related to Vitamin E|antioxidant, fragrance ingredient, skin-conditioning agent - miscellaneous;skin-conditioning agent - occlusive, and skin conditioning|706564-TOCOPHEROL/
2|10|Dimethicone (also called polymethylsiloxane) is a silicon-based polymer used as a lubricant and conditioning agent.|antifoaming agent, skin-conditioning agent - occlusive, skin protectant, antifoaming, emollient, skin conditioning, and skin protecting|702011-DIMETHICONE/
1.5|11|Citric acid is an alpha hydroxy acid used in personal care products to adjust the acidity or promote skin peeling and re-growth in the case of anti-aging products. Citric acid is naturally found in citric fruits and juices, providing the characteristic acidic taste. |chelating agent, fragrance ingredient, ph adjuster, buffering, chelating, and masking|701385-CITRIC_ACID/
1.5|12|Silica is the most common constituent of sand. Fine silica, typically used in industrial applications and inhaled by workers, is associated with a wide range of disorders, particularly affecting the lungs and respiratory system. In cosmetics for skin use, regular sand presents little, if any risk to people. In contrast, for products that might be inhaled (such as a facial powder), silica particles are finely ground down and may be associated with respiratory toxicity.|abrasive, absorbent, anticaking agent, bulking agent, opacifying agent, suspending agent- nonsurfactant, anticaking, and opacifying|705911-SILICA_AMORPHOUS/
1|13|Shea butter is a vegetable fat obtained from the fruit of a tree native to Africa, Butyrospermum parkii. Shea butter is primarily composed of fatty acids such as stearic and oleic acids.|skin-conditioning agent - miscellaneous, skin-conditioning agent - occlusive, viscosityincreasing agent - nonaqueous, skin conditioning, and viscosity controlling|700875-BUTYROSPERMUM_PARKII_SHEA_BUTTER/
3.5|14|Methylparaben is in the paraben family of preservatives used by the food, pharmaceutical, and personal care product industries. Parabens mimic estrogen and can act as potential hormone (endocrine) system disruptors.|fragrance ingredient and preservative|703937-METHYLPARABEN/
1|15|Panthenol is a form of vitamin B5, used as a moisturizer and lubricating compound. This ingredient is listed in the PETA's Caring Consumer guide as a substance that can be of either animal or plant origin.|hair conditioning agent, antistatic, hair conditioning, and skin conditioning|704436-PANTHENOL/
1|16|EDTA (ethylenediaminetetraacetic acid) is a chelating agent, used to sequester and decrease the reactivity of metal ions that may be present in a product.|chelating agent, chelating, and viscosity controlling|702146-DISODIUM_EDTA/
1|17|Beeswax is the purified wax from the honeycomb of the bee, Apis mellifera. This ingredient is listed in the PETA's Caring Consumer guide as a substance of animal origin.|binder, emulsion stabilizer, epilating agent, fragrance ingredient, skin-conditioning agent -miscellaneous, surfactant - emulsifying agent, viscosity increasing agent - nonaqueous, emollient, emulsifying, film forming, and perfuming|700643-BEESWAX/
1|18|Caprylic/Capric Triglyceride is a mixed triester of glycerin and caprylic and capric acids.|fragrance ingredient and skin-conditioning agent - occlusive|701056-CAPRYLIC_CAPRIC_TRIGLYCERIDE/
1|19|Xanthan gum is a polysaccharide, a sugar-based polymer produced by bacteria; it is used as a viscosity agent in personal care products and foods.|binder, emulsion stabilizer, skin-conditioning agent - miscellaneous, surfactant -emulsifying agent, viscosity increasing agent - aqueous, binding, emulsifying, emulsion stabilising, gel forming, skin conditioning, surfactant, and viscosity controlling|706998-XANTHAN_GUM/
1|20|Caprylyl glycol (1,2-octanediol) is used as a skin conditioning agent; has some antimicrobial activity.|hair conditioning agent, skin-conditioning agent - emollient, emollient, hair conditioning, humectant, and skin conditioning|701067-CAPRYLYL_GLYCOL/
5|21|Propylparaben is in the paraben family of preservatives used by the food, pharmaceutical, and personal care product industries. Parabens mimic estrogen and can act as potential hormone (endocrine) system disruptors.|fragrance ingredient, preservative, and perfuming|705335-PROPYLPARABEN/
1|22|Cetearyl Alcohol is a mixture of cetyl and stearyl alcohols that can come from vegetable or synthetic sources.|emulsion stabilizer, opacifying agent, surfactant - foam booster, viscosity increasingagent - aqueous, viscosity increasing agent - nonaqueous, emollient, emulsifying, emulsion stabilising, foam boosting, opacifying, surfactant, and viscosity controlling|701236-CETEARYL_ALCOHOL/
2.5|23|Propylene glycol is a small organic alcohol commonly used as a skin conditioning agent. It has been associated with irritant and allergic contact dermatitis as well as contact urticaria in humans; these sensitization effects can be manifested at propylene glycol concentrations as low as 2%.|fragrance ingredient, humectant, skin-conditioning agent - humectant, skin-conditioningagent - miscellaneous, solvent, viscosity decreasing agent, skin conditioning, and viscosity controlling|705315-PROPYLENE_GLYCOL/
3|24|Linalool is a terpene.|fragrance ingredient, deodorant, and masking|703568-LINALOOL/
1|25|Sodium Chloride is an inorganic salt (also called table salt).|flavoring agent, oral care agent, and viscosity increasing agent - aqueous|706025-SODIUM_CHLORIDE/
2|26|Aloe vera juice is produced from the succulent leaves of the aloe plant, Aloe barbadensis.||700271-ALOE_BARBADENSIS_ALOE_VERA_LEAF_JUICE/
1|27|Jojoba oil is extracted from seeds of the desert shrub, Simmondsia chinensis, native to California, Arizona and Mexico.|hair conditioning agent, skin-conditioning agent - occlusive, emollient, hair conditioning, skin conditioning, and viscosity controlling|705966-SIMMONDSIA_CHINENSIS_JOJOBA_SEED_OIL/
4.5|28|Limonene is a scent ingredient and solvent naturally ocurring in the rind of citrus fruit. Upon storage and exposure to sunlight and air, limonene degrades to various oxidation products which act as skin and respiratory irritants and sensitizers.|perfuming|702113-LIMONENE/
1|29|Sunflower oil is extracted from the seeds of the sunflower, Helianthus annuus.|skin-conditioning agent - miscellaneous, skin-conditioning agent - occlusive, and emollient|702804-HELIANTHUS_ANNUUS_SUNFLOWER_OIL/
1|30|Butylene glycol (1.3-Butanediol) is a small organic alcohol used as solvent and conditioning agent.|fragrance ingredient, skin-conditioning agent - miscellaneous, solvent, viscositydecreasing agent, humectant, masking, skin conditioning, and viscosity controlling|700861-BUTYLENE_GLYCOL/
3|31|Cyclopentasiloxane (cyclomethicone) is a silicon-based cyclic compound; may be associated with environmental toxicity.|hair conditioning agent, skin-conditioning agent - emollient, solvent, emollient, hair conditioning, and skin conditioning|701741-CYCLOPENTASILOXANE/
